Year,Aircraft Ownership,Airport Rents and Fees,Cargo RTMs (mil),Departures (000),Fuel Expense,Labor Expense,Load Factor,Net Profit,Operating Profit,Other Expense,Other Expense*,Passenger Enplanements (000) - Scheduled,Pre-Tax Profit,Scheduled ASMs (000),Scheduled RPMs (000),Total Operating Expense,Total Operating Revenue,Transport-Related
2008,8977.311286,9063.489932,36811.653737,11144.162,47945.325493,30798.010964,0.795411321,-24500.243754,-5596.943630000,34207.815777,73245.906347,743313.19,-26154.839183,1021330029.193,812377467.213,151989.242804,146392.299174,20997.289352
2009,8920.487208,8634.288347,31662.015424,10382.64,27419.106455,31026.394558,0.803894779,-2820.948454,1022.09177,29296.847794,63987.599701,703900.986,-3439.873786,957104793.118,769411546.123,122433.100714,123455.192484,17135.976352
2010,9004.872272,8762.51606,36515.701293,10361.452,32314.078904,32276.235417,0.820524416,2244.628298,8291.72641,30283.39439,65759.534536,720495.998,3087.711695,972601012.292,798042877.202,130349.848857,138641.575267,17708.751814
2011,9074.711307,8815.579937,36999.306837,10335.855,42712.495775,33333.813289,0.820366027,525.489792,5269.989073,33035.907166,71733.060791,730797.214,846.892723,992672045.97,814354422.387,147779.369855,153049.358928,20806.862381
2012,8982.599188,8545.84541,36159.793603,10127.15,43987.139016,35630.174657,0.827696289,131.48741,6036.596785,32902.300689,70720.0621,736700.552,547.850134,994545695.098,823181781.331,150337.375773,156373.972558,20289.316813
2013,9405.997205,8697.905957,34804.260533,9979.387,41662.863279,35787.206722,0.831150423,12183.268109,11308.764995,33772.146079,72836.664588,743170.862,5179.440575,1011167471.335,840432271.4,150286.734589,161595.499584,20960.615347
2014,9602.753571,8791.289045,35606.318041,9803.127,42472.735541,38289.324452,0.833920560,7383.344244,14600.733281,34808.721603,73913.747922,762709.995,9850.030367,1034278264.935,862505910.347,154675.807915,169276.541196,20710.983703
2015,9942.298549,9026.359773,36194.685898,9740.787,26174.393307,42642.271411,0.837703963,24793.822911,27993.589032,34923.042638,72064.245244,798220.65,23886.093691,1077032953.489,902234773.239,140880.909962,168874.498994,18172.544284
2016,10715.168612,9694.419678,37015.815846,9878.785,21672.308571,46707.867834,0.834186864,14224.455985,25096.113111,36287.077204,74653.168789,824038.224,21826.350551,1119025629.581,933476480.166,143033.345194,168129.458305,17956.503295
2017,10880.833845,10112.657035,41108.488653,9898.952,25267.799599,50305.797705,0.835026895,15666.216681,21624.384794,38352.434522,78354.949254,849407.903,19324.233697,1154871244.264,964348549.32,153928.546558,175552.931352,19009.023852
2018,11321.146435,10482.063724,43869.473143,10170.94,33619.738274,52659.94334,0.837208206,11774.601188,17645.868912,40252.402927,83548.164896,889023.395,15162.675624,1208205948.168,1011519934.115,169827.84651,187473.715422,21492.55181
2019,11857.440156,11241.922548,43473.648913,10405.363,31990.337842,56770.795625,0.846468801,14762.919418,20768.373606,41123.168002,86685.111086,926745.451,19220.645736,1247054229.297,1055592498.247,175446.244553,196214.618159,22462.58038
